model,k,weights,mean_MAE,mean_MSE,mean_RMSE
content_based,10.0,"(0.0, 0.3, 0.7)",1.0386699983946783,1.590751102569109,1.261046942437395
content_based,15.0,"(0.0, 0.3, 0.7)",1.0564070484598576,1.6211378547272843,1.2731211710607342
content_based,20.0,"(0.0, 0.3, 0.7)",1.0704879244316845,1.642446899805078,1.2814829851658094
content_based,25.0,"(0.0, 0.3, 0.7)",1.0822697500784055,1.6637485122694664,1.289776627593114
content_based,30.0,"(0.0, 0.3, 0.7)",1.0914350244728346,1.682097221748903,1.2968554446401568
content_based,36.0,"(0.0, 0.3, 0.7)",1.092456558435612,1.6844795611544434,1.297777008293243
content_based,1.0,"(0.0, 0.4, 0.6)",1.1482599429000506,2.6177060408896122,1.6178905418680873
content_based,2.0,"(0.0, 0.4, 0.6)",1.0785052743977488,2.0191442493026557,1.4207642331534642
content_based,3.0,"(0.0, 0.4, 0.6)",1.0537133463611432,1.8037046290270005,1.3428780482650102
content_based,4.0,"(0.0, 0.4, 0.6)",1.0414692298435173,1.710102781511257,1.3076192523579742
content_based,5.0,"(0.0, 0.4, 0.6)",1.0384285177087371,1.663730310915851,1.2897238363444026
content_based,6.0,"(0.0, 0.4, 0.6)",1.040996657071664,1.648629424288952,1.2838193664188784
content_based,7.0,"(0.0, 0.4, 0.6)",1.0424436182457164,1.635369080827044,1.2786357327658857
content_based,8.0,"(0.0, 0.4, 0.6)",1.042214651130924,1.6255565610962102,1.2748038850172603
content_based,9.0,"(0.0, 0.4, 0.6)",1.0448014911560863,1.6188182826297024,1.272134671121459
content_based,10.0,"(0.0, 0.4, 0.6)",1.0460258484475238,1.6172270331500898,1.2715122912566956
content_based,15.0,"(0.0, 0.4, 0.6)",1.057467988255614,1.6264119272542277,1.27519034623259
content_based,20.0,"(0.0, 0.4, 0.6)",1.0725588270488324,1.6495389173714838,1.2842455663794847
content_based,25.0,"(0.0, 0.4, 0.6)",1.083594048559198,1.668297820756253,1.2915325531300068
content_based,30.0,"(0.0, 0.4, 0.6)",1.0931898616033002,1.6873469619442734,1.298876841460941
content_based,36.0,"(0.0, 0.4, 0.6)",1.094266516758637,1.6899348694726175,1.2998755640343487
content_based,1.0,"(0.0, 0.5, 0.5)",1.1702827785310537,2.692205948268706,1.6406705640943546
content_based,2.0,"(0.0, 0.5, 0.5)",1.0857948711748766,2.0372606109482776,1.4271240816430955
content_based,3.0,"(0.0, 0.5, 0.5)",1.0581277689936033,1.8273667157792914,1.3516977450709777
content_based,4.0,"(0.0, 0.5, 0.5)",1.0486478498252931,1.7445708399037312,1.3206630957291208
content_based,5.0,"(0.0, 0.5, 0.5)",1.0478785477470884,1.7015986091603341,1.3043194315929312
content_based,6.0,"(0.0, 0.5, 0.5)",1.0495483288737713,1.6824287730757128,1.2969677330407727
content_based,7.0,"(0.0, 0.5, 0.5)",1.0544151108879616,1.6733033852562833,1.2934444166710948
content_based,8.0,"(0.0, 0.5, 0.5)",1.0543906548471091,1.663665401543221,1.2896965210185596
content_based,9.0,"(0.0, 0.5, 0.5)",1.0549526246367058,1.64951423283252,1.2841941290482342
content_based,10.0,"(0.0, 0.5, 0.5)",1.054507930129951,1.6446679321205555,1.282283957445756
